quarter,quarter_qf,hb,hbqf,location,location_qf,admission_type,admission_type_qf,simd,simdqf,episodes,length_of_episode,average_length_of_episode,average_length_of_episode_qf,stays,length_of_stay,average_length_of_stay,average_length_of_stay_qf,total_stays_per_quarter_simd,total_episodes_per_quarter_simd
2017Q1,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,209,465,2.22488038277512,NA,208,1260,6.05769230769231,NA,68230,69803
2017Q2,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,173,314,1.8150289017341,NA,177,800,4.51977401129944,NA,68555,69534
2017Q3,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,169,414,2.44970414201183,NA,176,842,4.78409090909091,NA,68961,70511
2017Q4,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,150,367,2.44666666666667,NA,153,1129,7.37908496732026,NA,70445,72285
2018Q1,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,188,482,2.56382978723404,NA,191,1296,6.78534031413613,NA,70933,72325
2018Q2,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,185,365,1.97297297297297,NA,190,943,4.96315789473684,NA,70047,71060
2018Q3,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,188,413,2.1968085106383,NA,194,1156,5.95876288659794,NA,68408,69983
2018Q4,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,184,450,2.44565217391304,NA,189,1100,5.82010582010582,NA,70761,72146
2019Q1,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,186,442,2.37634408602151,NA,188,1092,5.80851063829787,NA,71045,72547
2019Q2,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,190,553,2.91052631578947,NA,193,1690,8.75647668393782,NA,73187,74775
2019Q3,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,192,412,2.14583333333333,NA,194,1009,5.20103092783505,NA,72742,74088
2019Q4,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,176,455,2.58522727272727,NA,184,1413,7.67934782608696,NA,74645,76530
2020Q1,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,149,466,3.12751677852349,NA,156,1169,7.49358974358974,NA,69331,69158
2020Q2,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,124,292,2.35483870967742,NA,123,710,5.77235772357724,NA,54636,56737
2020Q3,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,160,390,2.4375,NA,172,1363,7.92441860465116,NA,66116,67727
2020Q4,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,150,325,2.16666666666667,NA,158,1188,7.51898734177215,NA,64608,66043
2021Q1,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,145,392,2.70344827586207,NA,167,1370,8.20359281437126,NA,63159,64495
2021Q2,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,157,376,2.39490445859873,NA,164,1064,6.48780487804878,NA,69903,71446
2021Q3,p,S08000022,NA,H212H,NA,Emergency Inpatients,NA,3,NA,151,595,3.94039735099338,NA,154,1376,8.93506493506493,NA,67026,68244
2016Q3,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,80,172,2.15,NA,82,541,6.59756097560976,NA,58163,59144
2016Q4,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,74,171,2.31081081081081,NA,73,366,5.01369863013699,NA,58095,59198
2017Q1,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,67,149,2.22388059701493,NA,67,476,7.1044776119403,NA,57225,58155
2017Q2,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,90,145,1.61111111111111,NA,90,600,6.66666666666667,NA,57490,58402
2017Q3,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,80,140,1.75,NA,82,247,3.01219512195122,NA,56998,58062
2017Q4,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,74,227,3.06756756756757,NA,79,405,5.12658227848101,NA,59111,60339
2018Q1,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,79,540,6.83544303797468,NA,77,888,11.5324675324675,NA,58884,59779
2018Q2,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,80,131,1.6375,NA,82,520,6.34146341463415,NA,59541,60662
2018Q3,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,95,183,1.92631578947368,NA,99,564,5.6969696969697,NA,58852,60019
2018Q4,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,79,200,2.53164556962025,NA,81,453,5.59259259259259,NA,60811,61821
2019Q1,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,85,231,2.71764705882353,NA,90,693,7.7,NA,60699,61351
2019Q2,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,75,283,3.77333333333333,NA,70,436,6.22857142857143,NA,61913,63104
2019Q3,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,92,266,2.89130434782609,NA,94,451,4.79787234042553,NA,61761,63083
2019Q4,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,85,193,2.27058823529412,NA,87,828,9.51724137931035,NA,62566,63691
2020Q1,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,65,216,3.32307692307692,NA,71,580,8.16901408450704,NA,58425,58026
2020Q2,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,45,214,4.75555555555556,NA,45,365,8.11111111111111,NA,47527,48878
2020Q3,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,92,148,1.60869565217391,NA,99,596,6.02020202020202,NA,56644,58054
2020Q4,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,70,193,2.75714285714286,NA,70,540,7.71428571428571,NA,54958,55724
2021Q1,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,65,250,3.84615384615385,NA,72,663,9.20833333333333,NA,53408,54598
2021Q2,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,80,188,2.35,NA,83,577,6.95180722891566,NA,59876,61024
2021Q3,p,S08000022,NA,H212H,NA,Emergency Inpatients,NA,4,NA,68,173,2.54411764705882,NA,75,798,10.64,NA,58929,59660
2016Q3,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,24,43,1.79166666666667,NA,24,62,2.58333333333333,NA,48789,49574
2016Q4,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,15,54,3.6,NA,16,89,5.5625,NA,49817,50493
2017Q1,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,12,22,1.83333333333333,NA,10,32,3.2,NA,48563,49158
2017Q2,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,20,49,2.45,NA,20,66,3.3,NA,48709,49089
2017Q3,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,12,26,2.16666666666667,NA,14,69,4.92857142857143,NA,48878,49750
2017Q4,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,14,58,4.14285714285714,NA,16,175,10.9375,NA,50635,51597
2018Q1,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,20,60,3,NA,18,146,8.11111111111111,NA,50296,50808
2018Q2,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,20,41,2.05,NA,19,188,9.89473684210526,NA,49625,49920
2018Q3,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,10,20,2,NA,10,54,5.4,NA,48847,49787
2018Q4,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,13,44,3.38461538461538,NA,15,48,3.2,NA,52225,52949
2019Q1,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,13,18,1.38461538461538,NA,13,23,1.76923076923077,NA,51583,52175
2019Q2,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,20,28,1.4,NA,20,35,1.75,NA,52222,52974
2019Q3,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,14,21,1.5,NA,14,51,3.64285714285714,NA,52734,53908
2019Q4,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,20,40,2,NA,22,86,3.90909090909091,NA,52902,53620
2020Q1,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,17,49,2.88235294117647,NA,17,124,7.29411764705882,NA,49182,48675
2020Q2,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,20,45,2.25,NA,20,144,7.2,NA,39438,40524
2020Q3,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,21,53,2.52380952380952,NA,23,180,7.82608695652174,NA,47617,48459
2020Q4,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,12,30,2.5,NA,15,127,8.46666666666667,NA,45843,46759
2021Q1,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,5,15,3,NA,5,42,8.4,NA,45623,46276
2021Q2,NA,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,12,33,2.75,NA,10,43,4.3,NA,50477,51506
2021Q3,p,S08000022,NA,H212H,NA,Emergency Inpatients,NA,5,NA,20,32,1.6,NA,20,51,2.55,NA,48852,49110
2016Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,86,216,2.51162790697674,NA,89,569,6.39325842696629,NA,106245,107465
2016Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,95,111,1.16842105263158,NA,95,356,3.74736842105263,NA,103596,105102
2017Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,84,145,1.72619047619048,NA,85,652,7.67058823529412,NA,101208,102663
2017Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,117,170,1.45299145299145,NA,114,622,5.45614035087719,NA,103344,104270
2017Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,109,145,1.3302752293578,NA,110,844,7.67272727272727,NA,102745,104338
2017Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,106,121,1.14150943396226,NA,109,677,6.21100917431193,NA,104033,106076
2018Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,118,164,1.38983050847458,NA,118,524,4.44067796610169,NA,102970,103966
2018Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,127,215,1.69291338582677,NA,123,439,3.56910569105691,NA,102891,104068
2018Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,131,186,1.41984732824427,NA,132,673,5.09848484848485,NA,103640,105287
2018Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,108,138,1.27777777777778,NA,110,429,3.9,NA,103887,105590
2019Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,81,159,1.96296296296296,NA,75,434,5.78666666666667,NA,106111,107639
2019Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,99,132,1.33333333333333,NA,102,328,3.2156862745098,NA,107289,108730
2019Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,102,199,1.95098039215686,NA,102,897,8.79411764705882,NA,108731,110532
2019Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,74,153,2.06756756756757,NA,71,367,5.16901408450704,NA,106455,108127
2020Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,79,175,2.21518987341772,NA,81,319,3.93827160493827,NA,98344,98021
2020Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,58,88,1.51724137931034,NA,64,875,13.671875,NA,80673,83110
2020Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,83,177,2.13253012048193,NA,83,340,4.09638554216868,NA,96701,98499
2020Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,73,185,2.53424657534247,NA,75,508,6.77333333333333,NA,92374,93674
2021Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,71,197,2.77464788732394,NA,67,543,8.1044776119403,NA,89456,91189
2021Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,89,185,2.07865168539326,NA,93,1701,18.2903225806452,NA,102177,103517
2021Q3,p,S08000022,NA,H103H,NA,Emergency Inpatients,NA,1,NA,75,93,1.24,NA,77,290,3.76623376623377,NA,97829,98731
2016Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,195,273,1.4,NA,193,1345,6.96891191709845,NA,84182,85607
2016Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,211,360,1.70616113744076,NA,210,2508,11.9428571428571,NA,83519,85066
2017Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,151,306,2.02649006622517,NA,154,2058,13.3636363636364,NA,84626,85955
2017Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,175,275,1.57142857142857,NA,180,1512,8.4,NA,85141,86553
2017Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,178,246,1.38202247191011,NA,176,886,5.03409090909091,NA,84955,86445
2017Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,195,272,1.39487179487179,NA,197,1696,8.60913705583756,NA,84805,86768
2018Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,202,392,1.94059405940594,NA,202,1301,6.44059405940594,NA,85976,87144
2018Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,182,259,1.42307692307692,NA,179,702,3.92178770949721,NA,85164,86141
2018Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,180,281,1.56111111111111,NA,175,1304,7.45142857142857,NA,84037,85973
2018Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,166,245,1.47590361445783,NA,174,1067,6.13218390804598,NA,86126,87600
2019Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,180,404,2.24444444444444,NA,166,911,5.48795180722892,NA,86380,87421
2019Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,145,267,1.84137931034483,NA,158,1108,7.0126582278481,NA,88381,90071
2019Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,178,339,1.90449438202247,NA,167,948,5.67664670658683,NA,88978,90408
2019Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,161,330,2.04968944099379,NA,165,1568,9.5030303030303,NA,88767,90413
2020Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,159,386,2.42767295597484,NA,166,2159,13.0060240963855,NA,83194,82750
2020Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,120,582,4.85,NA,122,1366,11.1967213114754,NA,66222,68211
2020Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,131,341,2.6030534351145,NA,150,993,6.62,NA,80340,82023
2020Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,133,432,3.24812030075188,NA,135,1216,9.00740740740741,NA,76999,78300
2021Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,123,448,3.64227642276423,NA,130,1545,11.8846153846154,NA,76119,77546
2021Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,142,369,2.59859154929577,NA,142,1716,12.0845070422535,NA,84525,86041
2021Q3,p,S08000022,NA,H103H,NA,Emergency Inpatients,NA,2,NA,122,390,3.19672131147541,NA,125,960,7.68,NA,82189,82892
2016Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,180,219,1.21666666666667,NA,181,936,5.17127071823204,NA,68728,70229
2016Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,201,328,1.6318407960199,NA,196,1685,8.5969387755102,NA,68398,70070
2017Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,209,380,1.81818181818182,NA,213,2073,9.73239436619718,NA,68230,69803
2017Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,207,324,1.56521739130435,NA,210,1788,8.51428571428571,NA,68555,69534
2017Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,239,270,1.12970711297071,NA,241,1428,5.9253112033195,NA,68961,70511
2017Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,225,321,1.42666666666667,NA,216,990,4.58333333333333,NA,70445,72285
2018Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,217,303,1.3963133640553,NA,215,1227,5.70697674418605,NA,70933,72325
2018Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,198,330,1.66666666666667,NA,196,1149,5.86224489795918,NA,70047,71060
2018Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,179,276,1.54189944134078,NA,183,1597,8.72677595628415,NA,68408,69983
2018Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,201,296,1.4726368159204,NA,204,1562,7.65686274509804,NA,70761,72146
2019Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,180,365,2.02777777777778,NA,166,813,4.89759036144578,NA,71045,72547
2019Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,152,351,2.30921052631579,NA,160,2113,13.20625,NA,73187,74775
2019Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,175,330,1.88571428571429,NA,180,2025,11.25,NA,72742,74088
2019Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,182,415,2.28021978021978,NA,172,1406,8.17441860465116,NA,74645,76530
2020Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,155,400,2.58064516129032,NA,160,2350,14.6875,NA,69331,69158
2020Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,127,266,2.09448818897638,NA,130,1474,11.3384615384615,NA,54636,56737
2020Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,120,355,2.95833333333333,NA,135,1636,12.1185185185185,NA,66116,67727
2020Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,127,310,2.44094488188976,NA,135,1161,8.6,NA,64608,66043
2021Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,110,310,2.81818181818182,NA,110,1559,14.1727272727273,NA,63159,64495
2021Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,130,382,2.93846153846154,NA,131,1254,9.57251908396947,NA,69903,71446
2021Q3,p,S08000022,NA,H103H,NA,Emergency Inpatients,NA,3,NA,141,347,2.46099290780142,NA,150,1427,9.51333333333333,NA,67026,68244
2016Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,159,220,1.38364779874214,NA,151,854,5.65562913907285,NA,58163,59144
2016Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,141,239,1.69503546099291,NA,148,1283,8.66891891891892,NA,58095,59198
2017Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,108,202,1.87037037037037,NA,106,935,8.82075471698113,NA,57225,58155
2017Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,133,203,1.52631578947368,NA,135,1544,11.437037037037,NA,57490,58402
2017Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,114,139,1.21929824561404,NA,113,1208,10.6902654867257,NA,56998,58062
2017Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,115,149,1.29565217391304,NA,115,1142,9.9304347826087,NA,59111,60339
2018Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,132,570,4.31818181818182,NA,131,1346,10.2748091603053,NA,58884,59779
2018Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,150,195,1.3,NA,148,993,6.70945945945946,NA,59541,60662
2018Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,123,193,1.56910569105691,NA,123,815,6.6260162601626,NA,58852,60019
2018Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,151,206,1.36423841059603,NA,151,765,5.06622516556291,NA,60811,61821
2019Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,109,296,2.71559633027523,NA,115,1411,12.2695652173913,NA,60699,61351
2019Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,142,276,1.94366197183099,NA,137,970,7.08029197080292,NA,61913,63104
2019Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,135,280,2.07407407407407,NA,133,756,5.68421052631579,NA,61761,63083
2019Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,119,198,1.66386554621849,NA,118,832,7.05084745762712,NA,62566,63691
2020Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,107,218,2.03738317757009,NA,111,1057,9.52252252252252,NA,58425,58026
2020Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,86,176,2.04651162790698,NA,87,959,11.0229885057471,NA,47527,48878
2020Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,81,125,1.54320987654321,NA,90,576,6.4,NA,56644,58054
2020Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,90,495,5.5,NA,95,1236,13.0105263157895,NA,54958,55724
2021Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,100,314,3.14,NA,103,1603,15.5631067961165,NA,53408,54598
2021Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,91,222,2.43956043956044,NA,90,618,6.86666666666667,NA,59876,61024
2021Q3,p,S08000022,NA,H103H,NA,Emergency Inpatients,NA,4,NA,94,217,2.30851063829787,NA,100,1075,10.75,NA,58929,59660
2016Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,0,5,NA,z,0,5,NA,z,48789,49574
2017Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,5,5,1,NA,0,5,NA,z,48563,49158
2017Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,0,0,NA,z,0,6,NA,z,48709,49089
2017Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,0,0,NA,z,0,0,NA,z,48878,49750
2017Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,5,5,1,NA,5,5,1,NA,50635,51597
2018Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,5,5,1,NA,5,5,1,NA,48847,49787
2018Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,0,0,NA,z,0,0,NA,z,52225,52949
2019Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,0,5,NA,z,0,0,NA,z,51583,52175
2019Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,0,0,NA,z,0,0,NA,z,52222,52974
2019Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,5,5,1,NA,5,5,1,NA,52734,53908
2019Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,5,6,1.2,NA,5,337,67.4,NA,52902,53620
2020Q1,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,0,0,NA,z,0,0,NA,z,49182,48675
2020Q3,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,5,5,1,NA,5,5,1,NA,47617,48459
2020Q4,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,0,0,NA,z,0,16,NA,z,45843,46759
2021Q2,NA,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,5,6,1.2,NA,5,6,1.2,NA,50477,51506
2021Q3,p,S08000022,NA,H103H,NA,Emergency Inpatients,NA,5,NA,0,0,NA,z,0,0,NA,z,48852,49110
2016Q3,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,29,200,6.89655172413793,NA,30,210,7,NA,106245,107465
2016Q4,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,39,307,7.87179487179487,NA,39,383,9.82051282051282,NA,103596,105102
2017Q1,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,40,205,5.125,NA,36,181,5.02777777777778,NA,101208,102663
2017Q2,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,53,194,3.66037735849057,NA,54,372,6.88888888888889,NA,103344,104270
2017Q3,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,47,501,10.6595744680851,NA,47,501,10.6595744680851,NA,102745,104338
2017Q4,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,35,316,9.02857142857143,NA,36,369,10.25,NA,104033,106076
2018Q1,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,38,449,11.8157894736842,NA,38,492,12.9473684210526,NA,102970,103966
2018Q2,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,41,215,5.24390243902439,NA,40,235,5.875,NA,102891,104068
2018Q3,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,35,121,3.45714285714286,NA,36,666,18.5,NA,103640,105287
2018Q4,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,40,431,10.775,NA,41,452,11.0243902439024,NA,103887,105590
2019Q1,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,40,141,3.525,NA,39,242,6.20512820512821,NA,106111,107639
2019Q2,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,35,168,4.8,NA,35,168,4.8,NA,107289,108730
2019Q3,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,37,106,2.86486486486486,NA,36,117,3.25,NA,108731,110532
2019Q4,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,30,149,4.96666666666667,NA,29,292,10.0689655172414,NA,106455,108127
2020Q1,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,36,178,4.94444444444444,NA,37,319,8.62162162162162,NA,98344,98021
2020Q2,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,30,248,8.26666666666667,NA,30,325,10.8333333333333,NA,80673,83110
2020Q3,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,29,135,4.6551724137931,NA,30,189,6.3,NA,96701,98499
2020Q4,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,35,267,7.62857142857143,NA,35,362,10.3428571428571,NA,92374,93674
2021Q1,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,30,144,4.8,NA,30,161,5.36666666666667,NA,89456,91189
2021Q2,NA,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,25,82,3.28,NA,25,115,4.6,NA,102177,103517
2021Q3,p,S08000022,NA,C121H,NA,Emergency Inpatients,NA,1,NA,30,173,5.76666666666667,NA,26,182,7,NA,97829,98731
