year,year_quarter,month,treatment_location,department_type,number_of_attendances_aggregate,number_meeting_target_aggregate,attendance_greater8hrs,attendance_greater12hrs
2018,2018Q4,10,N411H,Emergency Department,1850,1757,4,1
2018,2018Q4,10,N431H,Minor Injury Unit or Other,47,47,0,0
2018,2018Q4,10,N432H,Minor Injury Unit or Other,25,25,0,0
2018,2018Q4,10,N433H,Minor Injury Unit or Other,98,98,0,0
2018,2018Q4,10,N451H,Minor Injury Unit or Other,20,20,0,0
2018,2018Q4,10,N494H,Minor Injury Unit or Other,72,72,0,0
2018,2018Q4,10,N683C,Minor Injury Unit or Other,43,43,0,0
2018,2018Q4,10,C206H,Minor Injury Unit or Other,1463,1439,1,0
2018,2018Q4,10,C313H,Emergency Department,2792,2506,16,0
2018,2018Q4,10,C418H,Emergency Department,5610,4851,126,1
2018,2018Q4,10,G107H,Emergency Department,8120,7295,20,1
2018,2018Q4,10,G207H,Minor Injury Unit or Other,1798,1798,0,0
2018,2018Q4,10,G306H,Minor Injury Unit or Other,2924,2924,0,0
2018,2018Q4,10,G405H,Emergency Department,8714,7449,55,1
2018,2018Q4,10,G513H,Emergency Department,5409,5275,1,0
2018,2018Q4,10,C106H,Minor Injury Unit or Other,703,700,0,0
2018,2018Q4,10,C108H,Minor Injury Unit or Other,84,84,0,0
2018,2018Q4,10,C113H,Minor Injury Unit or Other,305,298,0,0
2018,2018Q4,10,C121H,Emergency Department,602,584,1,1
2018,2018Q4,10,C122H,Minor Injury Unit or Other,444,437,0,0
2018,2018Q4,10,H101H,Minor Injury Unit or Other,148,148,0,0
2018,2018Q4,10,H103H,Emergency Department,680,658,1,0
2018,2018Q4,10,H106H,Minor Injury Unit or Other,36,36,0,0
2018,2018Q4,10,H202H,Emergency Department,2842,2679,4,0
2018,2018Q4,10,H208H,Minor Injury Unit or Other,401,401,0,0
2018,2018Q4,10,H210H,Minor Injury Unit or Other,50,50,0,0
2018,2018Q4,10,H212H,Emergency Department,750,729,2,0
2018,2018Q4,10,H214H,Minor Injury Unit or Other,356,356,0,0
2018,2018Q4,10,H215H,Minor Injury Unit or Other,169,169,0,0
2018,2018Q4,10,H217H,Minor Injury Unit or Other,38,38,0,0
2018,2018Q4,10,H219H,Minor Injury Unit or Other,156,156,0,0
2018,2018Q4,10,H224H,Minor Injury Unit or Other,316,311,0,0
2018,2018Q4,10,H227B,Minor Injury Unit or Other,130,130,0,0
2018,2018Q4,10,H227H,Minor Injury Unit or Other,76,74,0,0
2018,2018Q4,10,L106H,Emergency Department,5872,5586,18,2
2018,2018Q4,10,L206H,Minor Injury Unit or Other,54,54,0,0
2018,2018Q4,10,L207H,Minor Injury Unit or Other,45,45,0,0
2018,2018Q4,10,L302H,Emergency Department,5392,4794,112,34
2018,2018Q4,10,L308H,Emergency Department,5991,5326,40,7
2018,2018Q4,10,S108H,Minor Injury Unit or Other,181,181,0,0
2018,2018Q4,10,S116H,Minor Injury Unit or Other,4066,3745,43,18
2018,2018Q4,10,S308H,Emergency Department,4791,4211,64,8
2018,2018Q4,10,S314H,Emergency Department,10190,8761,173,33
2018,2018Q4,10,S319H,Emergency Department,4024,3858,8,0
2018,2018Q4,10,R103H,Emergency Department,493,470,0,0
2018,2018Q4,10,Z102H,Emergency Department,653,626,1,0
2018,2018Q4,10,T101H,Emergency Department,4041,3954,0,0
2018,2018Q4,10,T202H,Emergency Department,2030,1999,1,0
2018,2018Q4,10,T205H,Minor Injury Unit or Other,40,40,0,0
2018,2018Q4,10,T209H,Minor Injury Unit or Other,252,252,0,0
2018,2018Q4,10,T304H,Minor Injury Unit or Other,1192,1192,0,0
2018,2018Q4,10,T305H,Minor Injury Unit or Other,99,99,0,0
2018,2018Q4,10,T316H,Minor Injury Unit or Other,60,60,0,0
2018,2018Q4,10,T319H,Minor Injury Unit or Other,526,526,0,0
2018,2018Q4,10,T320H,Minor Injury Unit or Other,68,68,0,0
2018,2018Q4,10,T357C,Minor Injury Unit or Other,256,256,0,0
2018,2018Q4,10,W106H,Minor Injury Unit or Other,62,62,0,0
2018,2018Q4,10,W107H,Emergency Department,514,509,0,0
2018,2018Q4,10,W108H,Minor Injury Unit or Other,149,149,0,0
2018,2018Q4,11,A101H,Minor Injury Unit or Other,177,174,0,0
2018,2018Q4,11,A110H,Minor Injury Unit or Other,38,38,0,0
2018,2018Q4,11,A111H,Emergency Department,6021,5601,111,25
2018,2018Q4,11,A210H,Emergency Department,3051,2734,71,20
2018,2018Q4,11,A216H,Minor Injury Unit or Other,56,56,0,0
2018,2018Q4,11,B103H,Minor Injury Unit or Other,7,7,0,0
2018,2018Q4,11,B105H,Minor Injury Unit or Other,65,65,0,0
2018,2018Q4,11,B114H,Minor Injury Unit or Other,11,11,0,0
2018,2018Q4,11,B118H,Minor Injury Unit or Other,50,50,0,0
2018,2018Q4,11,B120H,Emergency Department,2445,2356,1,0
2018,2018Q4,11,Y101H,Minor Injury Unit or Other,26,26,0,0
2018,2018Q4,11,Y106H,Minor Injury Unit or Other,38,38,0,0
2018,2018Q4,11,Y109H,Minor Injury Unit or Other,1,1,0,0
2018,2018Q4,11,Y110H,Minor Injury Unit or Other,13,13,0,0
2018,2018Q4,11,Y144H,Emergency Department,957,892,11,3
2018,2018Q4,11,Y146H,Emergency Department,2677,2562,6,0
2018,2018Q4,11,F704H,Emergency Department,5412,5085,6,0
2018,2018Q4,11,F708H,Minor Injury Unit or Other,132,132,0,0
2018,2018Q4,11,F709H,Minor Injury Unit or Other,293,293,0,0
2018,2018Q4,11,F805H,Minor Injury Unit or Other,1621,1620,0,0
2018,2018Q4,11,V201H,Minor Injury Unit or Other,1587,1587,0,0
2018,2018Q4,11,V217H,Emergency Department,5207,3736,323,84
2018,2018Q4,11,N101H,Emergency Department,4723,4337,8,0
2018,2018Q4,11,N121H,Emergency Department,1269,1261,0,0
2018,2018Q4,11,N151H,Minor Injury Unit or Other,83,83,0,0
2018,2018Q4,11,N331H,Minor Injury Unit or Other,3,3,0,0
2018,2018Q4,11,N332H,Minor Injury Unit or Other,32,32,0,0
2018,2018Q4,11,N333H,Minor Injury Unit or Other,1197,1197,0,0
2018,2018Q4,11,N334H,Minor Injury Unit or Other,560,560,0,0
2018,2018Q4,11,N335H,Minor Injury Unit or Other,229,228,0,0
2018,2018Q4,11,N336H,Minor Injury Unit or Other,126,126,0,0
2018,2018Q4,11,N337H,Minor Injury Unit or Other,256,244,0,0
2018,2018Q4,11,N411H,Emergency Department,2061,1865,12,0
2018,2018Q4,11,N431H,Minor Injury Unit or Other,43,43,0,0
2018,2018Q4,11,N432H,Minor Injury Unit or Other,12,12,0,0
2018,2018Q4,11,N433H,Minor Injury Unit or Other,60,60,0,0
2018,2018Q4,11,N451H,Minor Injury Unit or Other,14,14,0,0
2018,2018Q4,11,N494H,Minor Injury Unit or Other,83,83,0,0
2018,2018Q4,11,N683C,Minor Injury Unit or Other,37,37,0,0
2018,2018Q4,11,C206H,Minor Injury Unit or Other,1354,1308,1,0
2018,2018Q4,11,C313H,Emergency Department,2462,2278,7,0
2018,2018Q4,11,C418H,Emergency Department,5437,4825,73,0
2018,2018Q4,11,G107H,Emergency Department,7875,7019,18,0
2018,2018Q4,11,G207H,Minor Injury Unit or Other,1705,1705,0,0
2018,2018Q4,11,G306H,Minor Injury Unit or Other,2685,2683,0,0
2018,2018Q4,11,G405H,Emergency Department,8286,6967,111,1
2018,2018Q4,11,G513H,Emergency Department,6272,5736,23,5
2018,2018Q4,11,C106H,Minor Injury Unit or Other,628,627,0,0
2018,2018Q4,11,C108H,Minor Injury Unit or Other,91,91,0,0
2018,2018Q4,11,C113H,Minor Injury Unit or Other,326,318,0,0
2018,2018Q4,11,C121H,Emergency Department,577,559,1,0
2018,2018Q4,11,C122H,Minor Injury Unit or Other,384,383,0,0
2018,2018Q4,11,H101H,Minor Injury Unit or Other,169,169,0,0
2018,2018Q4,11,H103H,Emergency Department,675,661,1,0
2018,2018Q4,11,H106H,Minor Injury Unit or Other,38,38,0,0
2018,2018Q4,11,H202H,Emergency Department,2709,2572,2,0
2018,2018Q4,11,H208H,Minor Injury Unit or Other,362,362,0,0
2018,2018Q4,11,H210H,Minor Injury Unit or Other,58,58,0,0
2018,2018Q4,11,H212H,Emergency Department,658,627,0,0
2018,2018Q4,11,H214H,Minor Injury Unit or Other,317,317,0,0
2018,2018Q4,11,H215H,Minor Injury Unit or Other,179,179,0,0
2018,2018Q4,11,H219H,Minor Injury Unit or Other,143,143,0,0
2018,2018Q4,11,H224H,Minor Injury Unit or Other,363,361,0,0
2018,2018Q4,11,H227B,Minor Injury Unit or Other,105,105,0,0
2018,2018Q4,11,H227H,Minor Injury Unit or Other,58,57,0,0
2018,2018Q4,11,L106H,Emergency Department,5709,5366,8,1
2018,2018Q4,11,L206H,Minor Injury Unit or Other,49,49,0,0
2018,2018Q4,11,L207H,Minor Injury Unit or Other,41,41,0,0
2018,2018Q4,11,L302H,Emergency Department,5291,4796,52,13
2018,2018Q4,11,L308H,Emergency Department,5917,4911,171,32
2018,2018Q4,11,S108H,Minor Injury Unit or Other,141,141,0,0
2018,2018Q4,11,S116H,Minor Injury Unit or Other,3826,3533,15,3
2018,2018Q4,11,S308H,Emergency Department,4832,4185,62,9
2018,2018Q4,11,S314H,Emergency Department,9888,8629,111,12
2018,2018Q4,11,S319H,Emergency Department,4808,4477,10,2
2018,2018Q4,11,R103H,Emergency Department,520,493,0,0
2018,2018Q4,11,Z102H,Emergency Department,682,663,1,0
2018,2018Q4,11,T101H,Emergency Department,4163,3992,2,0
2018,2018Q4,11,T202H,Emergency Department,1857,1809,0,0
2018,2018Q4,11,T205H,Minor Injury Unit or Other,40,40,0,0
2018,2018Q4,11,T209H,Minor Injury Unit or Other,270,270,0,0
2018,2018Q4,11,T304H,Minor Injury Unit or Other,1217,1216,0,0
2018,2018Q4,11,T305H,Minor Injury Unit or Other,93,93,0,0
2018,2018Q4,11,T316H,Minor Injury Unit or Other,49,49,0,0
2018,2018Q4,11,T319H,Minor Injury Unit or Other,404,404,0,0
2018,2018Q4,11,T320H,Minor Injury Unit or Other,94,94,0,0
2018,2018Q4,11,T357C,Minor Injury Unit or Other,245,245,0,0
2018,2018Q4,11,W106H,Minor Injury Unit or Other,42,42,0,0
2018,2018Q4,11,W107H,Emergency Department,487,480,0,0
2018,2018Q4,11,W108H,Minor Injury Unit or Other,141,140,0,0
2018,2018Q4,12,A101H,Minor Injury Unit or Other,191,185,0,0
2018,2018Q4,12,A110H,Minor Injury Unit or Other,47,47,0,0
2018,2018Q4,12,A111H,Emergency Department,6170,5553,176,35
2018,2018Q4,12,A210H,Emergency Department,3129,2873,51,18
2018,2018Q4,12,A216H,Minor Injury Unit or Other,61,60,0,0
2018,2018Q4,12,B103H,Minor Injury Unit or Other,8,8,0,0
2018,2018Q4,12,B105H,Minor Injury Unit or Other,64,64,0,0
2018,2018Q4,12,B114H,Minor Injury Unit or Other,7,7,0,0
2018,2018Q4,12,B118H,Minor Injury Unit or Other,25,25,0,0
2018,2018Q4,12,B120H,Emergency Department,2464,2312,10,3
2018,2018Q4,12,Y101H,Minor Injury Unit or Other,17,17,0,0
2018,2018Q4,12,Y106H,Minor Injury Unit or Other,22,22,0,0
2018,2018Q4,12,Y109H,Minor Injury Unit or Other,4,4,0,0
2018,2018Q4,12,Y110H,Minor Injury Unit or Other,10,10,0,0
2018,2018Q4,12,Y144H,Emergency Department,1036,941,17,1
2018,2018Q4,12,Y146H,Emergency Department,2821,2517,16,1
2018,2018Q4,12,F704H,Emergency Department,5651,5126,25,1
2018,2018Q4,12,F708H,Minor Injury Unit or Other,117,116,0,0
2018,2018Q4,12,F709H,Minor Injury Unit or Other,181,180,0,0
2018,2018Q4,12,F805H,Minor Injury Unit or Other,1476,1471,1,0
2018,2018Q4,12,V201H,Minor Injury Unit or Other,1475,1475,0,0
2018,2018Q4,12,V217H,Emergency Department,5468,3971,236,59
2018,2018Q4,12,N101H,Emergency Department,5091,4547,19,2
2018,2018Q4,12,N121H,Emergency Department,1231,1222,1,0
2018,2018Q4,12,N151H,Minor Injury Unit or Other,77,77,0,0
2018,2018Q4,12,N331H,Minor Injury Unit or Other,9,9,0,0
2018,2018Q4,12,N332H,Minor Injury Unit or Other,20,20,0,0
2018,2018Q4,12,N333H,Minor Injury Unit or Other,1329,1329,0,0
2018,2018Q4,12,N334H,Minor Injury Unit or Other,696,696,0,0
2018,2018Q4,12,N335H,Minor Injury Unit or Other,245,243,0,0
2018,2018Q4,12,N336H,Minor Injury Unit or Other,111,111,0,0
2018,2018Q4,12,N337H,Minor Injury Unit or Other,242,241,0,0
2018,2018Q4,12,N411H,Emergency Department,2087,1904,12,2
2018,2018Q4,12,N431H,Minor Injury Unit or Other,48,48,0,0
2018,2018Q4,12,N432H,Minor Injury Unit or Other,13,13,0,0
2018,2018Q4,12,N433H,Minor Injury Unit or Other,71,71,0,0
2018,2018Q4,12,N451H,Minor Injury Unit or Other,12,12,0,0
2018,2018Q4,12,N494H,Minor Injury Unit or Other,82,82,0,0
2018,2018Q4,12,N683C,Minor Injury Unit or Other,21,21,0,0
2018,2018Q4,12,C206H,Minor Injury Unit or Other,1423,1354,3,0
2018,2018Q4,12,C313H,Emergency Department,2715,2394,9,0
2018,2018Q4,12,C418H,Emergency Department,5716,4848,86,0
2018,2018Q4,12,G107H,Emergency Department,8115,6896,39,1
2018,2018Q4,12,G207H,Minor Injury Unit or Other,1612,1565,0,0
2018,2018Q4,12,G306H,Minor Injury Unit or Other,2517,2516,0,0
2018,2018Q4,12,G405H,Emergency Department,8805,7000,140,4
2018,2018Q4,12,G513H,Emergency Department,5885,5595,0,0
2018,2018Q4,12,C106H,Minor Injury Unit or Other,662,660,0,0
2018,2018Q4,12,C108H,Minor Injury Unit or Other,104,103,0,0
2018,2018Q4,12,C113H,Minor Injury Unit or Other,331,321,0,0
2018,2018Q4,12,C121H,Emergency Department,636,613,0,0
2018,2018Q4,12,C122H,Minor Injury Unit or Other,465,464,0,0
2018,2018Q4,12,H101H,Minor Injury Unit or Other,147,147,0,0
2018,2018Q4,12,H103H,Emergency Department,701,674,1,0
2018,2018Q4,12,H106H,Minor Injury Unit or Other,29,29,0,0
2018,2018Q4,12,H202H,Emergency Department,2959,2723,20,0
2018,2018Q4,12,H208H,Minor Injury Unit or Other,344,344,0,0
2018,2018Q4,12,H210H,Minor Injury Unit or Other,43,43,0,0
2018,2018Q4,12,H212H,Emergency Department,639,613,1,0
2018,2018Q4,12,H214H,Minor Injury Unit or Other,385,385,0,0
2018,2018Q4,12,H215H,Minor Injury Unit or Other,179,179,0,0
2018,2018Q4,12,H219H,Minor Injury Unit or Other,97,97,0,0
2018,2018Q4,12,H224H,Minor Injury Unit or Other,381,374,0,0
2018,2018Q4,12,H227B,Minor Injury Unit or Other,107,107,0,0
2018,2018Q4,12,H227H,Minor Injury Unit or Other,74,74,0,0
2018,2018Q4,12,L106H,Emergency Department,5792,5363,18,0
2018,2018Q4,12,L206H,Minor Injury Unit or Other,71,71,0,0
2018,2018Q4,12,L207H,Minor Injury Unit or Other,46,46,0,0
2018,2018Q4,12,L302H,Emergency Department,5307,4863,47,1
2018,2018Q4,12,L308H,Emergency Department,5941,5191,65,4
2018,2018Q4,12,S108H,Minor Injury Unit or Other,114,114,0,0
2018,2018Q4,12,S116H,Minor Injury Unit or Other,3770,3186,66,33
2018,2018Q4,12,S308H,Emergency Department,4906,4169,65,6
2018,2018Q4,12,S314H,Emergency Department,10273,8582,224,28
2018,2018Q4,12,S319H,Emergency Department,4649,4298,12,0
2018,2018Q4,12,R103H,Emergency Department,535,506,0,0
2018,2018Q4,12,Z102H,Emergency Department,649,633,0,0
2018,2018Q4,12,T101H,Emergency Department,4114,3942,2,0
2018,2018Q4,12,T202H,Emergency Department,1965,1919,0,0
2018,2018Q4,12,T205H,Minor Injury Unit or Other,20,20,0,0
2018,2018Q4,12,T209H,Minor Injury Unit or Other,258,258,0,0
2018,2018Q4,12,T304H,Minor Injury Unit or Other,1268,1267,0,0
2018,2018Q4,12,T305H,Minor Injury Unit or Other,60,60,0,0
2018,2018Q4,12,T316H,Minor Injury Unit or Other,38,38,0,0
2018,2018Q4,12,T319H,Minor Injury Unit or Other,455,455,0,0
2018,2018Q4,12,T320H,Minor Injury Unit or Other,54,54,0,0
2018,2018Q4,12,T357C,Minor Injury Unit or Other,204,204,0,0
2018,2018Q4,12,W106H,Minor Injury Unit or Other,45,45,0,0
2018,2018Q4,12,W107H,Emergency Department,546,540,0,0
2018,2018Q4,12,W108H,Minor Injury Unit or Other,147,146,0,0
2019,2019Q1,01,A101H,Minor Injury Unit or Other,172,168,0,0
2019,2019Q1,01,A110H,Minor Injury Unit or Other,83,83,0,0
2019,2019Q1,01,A111H,Emergency Department,6098,5418,203,82
2019,2019Q1,01,A210H,Emergency Department,3173,2692,168,67
2019,2019Q1,01,A216H,Minor Injury Unit or Other,69,68,0,0
2019,2019Q1,01,B103H,Minor Injury Unit or Other,2,2,0,0
2019,2019Q1,01,B105H,Minor Injury Unit or Other,55,55,0,0
2019,2019Q1,01,B114H,Minor Injury Unit or Other,7,7,0,0
2019,2019Q1,01,B118H,Minor Injury Unit or Other,33,33,0,0
2019,2019Q1,01,B120H,Emergency Department,2575,2397,19,2
2019,2019Q1,01,Y101H,Minor Injury Unit or Other,16,16,0,0
2019,2019Q1,01,Y106H,Minor Injury Unit or Other,30,30,0,0
2019,2019Q1,01,Y109H,Minor Injury Unit or Other,1,1,0,0
2019,2019Q1,01,Y110H,Minor Injury Unit or Other,11,11,0,0
2019,2019Q1,01,Y144H,Emergency Department,1041,969,7,0
2019,2019Q1,01,Y146H,Emergency Department,2653,2357,29,2
2019,2019Q1,01,F704H,Emergency Department,5515,4903,41,0
2019,2019Q1,01,F708H,Minor Injury Unit or Other,132,132,0,0
2019,2019Q1,01,F709H,Minor Injury Unit or Other,203,203,0,0
2019,2019Q1,01,F805H,Minor Injury Unit or Other,1547,1547,0,0
2019,2019Q1,01,V201H,Minor Injury Unit or Other,1501,1499,0,0
2019,2019Q1,01,V217H,Emergency Department,5416,4179,273,49
2019,2019Q1,01,N101H,Emergency Department,4970,4282,37,5
2019,2019Q1,01,N121H,Emergency Department,1316,1294,1,0
2019,2019Q1,01,N151H,Minor Injury Unit or Other,81,81,0,0
2019,2019Q1,01,N331H,Minor Injury Unit or Other,4,4,0,0
2019,2019Q1,01,N332H,Minor Injury Unit or Other,23,23,0,0
2019,2019Q1,01,N333H,Minor Injury Unit or Other,1291,1291,0,0
2019,2019Q1,01,N334H,Minor Injury Unit or Other,621,619,0,0
2019,2019Q1,01,N335H,Minor Injury Unit or Other,218,216,0,0
2019,2019Q1,01,N336H,Minor Injury Unit or Other,126,126,0,0
2019,2019Q1,01,N337H,Minor Injury Unit or Other,247,246,0,0
2019,2019Q1,01,N411H,Emergency Department,1950,1866,1,0
2019,2019Q1,01,N431H,Minor Injury Unit or Other,40,40,0,0
2019,2019Q1,01,N432H,Minor Injury Unit or Other,13,13,0,0
2019,2019Q1,01,N433H,Minor Injury Unit or Other,86,86,0,0
2019,2019Q1,01,N451H,Minor Injury Unit or Other,8,8,0,0
2019,2019Q1,01,N494H,Minor Injury Unit or Other,79,79,0,0
2019,2019Q1,01,N683C,Minor Injury Unit or Other,39,39,0,0
2019,2019Q1,01,C206H,Minor Injury Unit or Other,1445,1386,3,0
2019,2019Q1,01,C313H,Emergency Department,2708,2351,18,0
2019,2019Q1,01,C418H,Emergency Department,5806,4797,231,7
2019,2019Q1,01,G107H,Emergency Department,8036,6744,28,0
2019,2019Q1,01,G207H,Minor Injury Unit or Other,1704,1701,0,0
2019,2019Q1,01,G306H,Minor Injury Unit or Other,2734,2731,1,0
2019,2019Q1,01,G405H,Emergency Department,8834,7001,267,43
2019,2019Q1,01,G513H,Emergency Department,6149,5883,0,0
2019,2019Q1,01,C106H,Minor Injury Unit or Other,644,640,0,0
2019,2019Q1,01,C108H,Minor Injury Unit or Other,94,92,0,0
2019,2019Q1,01,C113H,Minor Injury Unit or Other,337,330,0,0
2019,2019Q1,01,C121H,Emergency Department,615,603,2,0
2019,2019Q1,01,C122H,Minor Injury Unit or Other,420,418,0,0
2019,2019Q1,01,H101H,Minor Injury Unit or Other,161,160,0,0
2019,2019Q1,01,H103H,Emergency Department,682,656,6,3
2019,2019Q1,01,H106H,Minor Injury Unit or Other,25,25,0,0
2019,2019Q1,01,H202H,Emergency Department,2836,2534,37,2
2019,2019Q1,01,H208H,Minor Injury Unit or Other,270,270,0,0
2019,2019Q1,01,H210H,Minor Injury Unit or Other,41,41,0,0
2019,2019Q1,01,H212H,Emergency Department,664,640,1,0
2019,2019Q1,01,H214H,Minor Injury Unit or Other,399,399,0,0
2019,2019Q1,01,H215H,Minor Injury Unit or Other,168,168,0,0
2019,2019Q1,01,H219H,Minor Injury Unit or Other,108,108,0,0
2019,2019Q1,01,H224H,Minor Injury Unit or Other,439,424,0,0
2019,2019Q1,01,H227B,Minor Injury Unit or Other,110,110,0,0
2019,2019Q1,01,H227H,Minor Injury Unit or Other,63,62,0,0
2019,2019Q1,01,L106H,Emergency Department,6074,5642,11,1
2019,2019Q1,01,L206H,Minor Injury Unit or Other,79,79,0,0
2019,2019Q1,01,L207H,Minor Injury Unit or Other,36,36,0,0
2019,2019Q1,01,L302H,Emergency Department,5705,4732,119,50
2019,2019Q1,01,L308H,Emergency Department,6127,5204,151,29
2019,2019Q1,01,S108H,Minor Injury Unit or Other,149,149,0,0
2019,2019Q1,01,S116H,Minor Injury Unit or Other,4191,3442,148,64
2019,2019Q1,01,S308H,Emergency Department,4845,3977,158,28
2019,2019Q1,01,S314H,Emergency Department,10165,8696,258,67
2019,2019Q1,01,S319H,Emergency Department,4385,4073,9,0
2019,2019Q1,01,R103H,Emergency Department,520,499,2,2
2019,2019Q1,01,Z102H,Emergency Department,625,599,0,0
2019,2019Q1,01,T101H,Emergency Department,4009,3855,0,0
2019,2019Q1,01,T202H,Emergency Department,2012,1916,1,0
2019,2019Q1,01,T205H,Minor Injury Unit or Other,20,20,0,0
2019,2019Q1,01,T209H,Minor Injury Unit or Other,233,233,0,0
2019,2019Q1,01,T304H,Minor Injury Unit or Other,1277,1277,0,0
2019,2019Q1,01,T305H,Minor Injury Unit or Other,60,60,0,0
2019,2019Q1,01,T316H,Minor Injury Unit or Other,74,74,0,0
2019,2019Q1,01,T319H,Minor Injury Unit or Other,387,387,0,0
2019,2019Q1,01,T320H,Minor Injury Unit or Other,74,74,0,0
2019,2019Q1,01,T357C,Minor Injury Unit or Other,223,223,0,0
2019,2019Q1,01,W106H,Minor Injury Unit or Other,38,38,0,0
2019,2019Q1,01,W107H,Emergency Department,503,493,0,0
2019,2019Q1,01,W108H,Minor Injury Unit or Other,137,137,0,0
2019,2019Q1,02,A101H,Minor Injury Unit or Other,172,168,0,0
2019,2019Q1,02,A110H,Minor Injury Unit or Other,46,45,0,0
2019,2019Q1,02,A111H,Emergency Department,5587,4927,219,76
2019,2019Q1,02,A210H,Emergency Department,2917,2387,190,78
2019,2019Q1,02,A216H,Minor Injury Unit or Other,60,60,0,0
2019,2019Q1,02,B103H,Minor Injury Unit or Other,7,7,0,0
2019,2019Q1,02,B105H,Minor Injury Unit or Other,63,63,0,0
2019,2019Q1,02,B114H,Minor Injury Unit or Other,6,6,0,0
2019,2019Q1,02,B118H,Minor Injury Unit or Other,34,34,0,0
2019,2019Q1,02,B120H,Emergency Department,2315,2105,40,21
2019,2019Q1,02,Y101H,Minor Injury Unit or Other,15,15,0,0
2019,2019Q1,02,Y106H,Minor Injury Unit or Other,23,23,0,0
2019,2019Q1,02,Y109H,Minor Injury Unit or Other,3,3,0,0
2019,2019Q1,02,Y110H,Minor Injury Unit or Other,2,2,0,0
2019,2019Q1,02,Y144H,Emergency Department,971,901,8,2
2019,2019Q1,02,Y146H,Emergency Department,2680,2323,29,6
2019,2019Q1,02,F704H,Emergency Department,5153,4590,25,1
2019,2019Q1,02,F708H,Minor Injury Unit or Other,143,143,0,0
2019,2019Q1,02,F709H,Minor Injury Unit or Other,273,273,0,0
2019,2019Q1,02,F805H,Minor Injury Unit or Other,1552,1550,2,0
2019,2019Q1,02,V201H,Minor Injury Unit or Other,1464,1464,0,0
2019,2019Q1,02,V217H,Emergency Department,4877,4563,14,1
2019,2019Q1,02,N101H,Emergency Department,4892,4001,45,6
2019,2019Q1,02,N121H,Emergency Department,1245,1230,0,0
2019,2019Q1,02,N151H,Minor Injury Unit or Other,73,73,0,0
2019,2019Q1,02,N331H,Minor Injury Unit or Other,1,1,0,0
2019,2019Q1,02,N332H,Minor Injury Unit or Other,37,37,0,0
2019,2019Q1,02,N333H,Minor Injury Unit or Other,1327,1327,0,0
2019,2019Q1,02,N334H,Minor Injury Unit or Other,550,548,0,0
2019,2019Q1,02,N335H,Minor Injury Unit or Other,206,203,0,0
2019,2019Q1,02,N336H,Minor Injury Unit or Other,123,123,0,0
2019,2019Q1,02,N337H,Minor Injury Unit or Other,257,254,0,0
2019,2019Q1,02,N411H,Emergency Department,1950,1845,5,0
2019,2019Q1,02,N431H,Minor Injury Unit or Other,45,45,0,0
2019,2019Q1,02,N432H,Minor Injury Unit or Other,12,12,0,0
2019,2019Q1,02,N433H,Minor Injury Unit or Other,71,71,0,0
2019,2019Q1,02,N451H,Minor Injury Unit or Other,15,15,0,0
2019,2019Q1,02,N494H,Minor Injury Unit or Other,80,80,0,0
2019,2019Q1,02,N683C,Minor Injury Unit or Other,36,36,0,0
2019,2019Q1,02,C206H,Minor Injury Unit or Other,1421,1369,0,0
2019,2019Q1,02,C313H,Emergency Department,2494,2275,13,0
2019,2019Q1,02,C418H,Emergency Department,5052,4257,103,2
2019,2019Q1,02,G107H,Emergency Department,7591,6256,74,2
2019,2019Q1,02,G207H,Minor Injury Unit or Other,1639,1631,0,0
2019,2019Q1,02,G306H,Minor Injury Unit or Other,2705,2704,0,0
2019,2019Q1,02,G405H,Emergency Department,7858,6263,132,19
2019,2019Q1,02,G513H,Emergency Department,5651,5332,1,0
2019,2019Q1,02,C106H,Minor Injury Unit or Other,616,612,0,0
2019,2019Q1,02,C108H,Minor Injury Unit or Other,78,78,0,0
2019,2019Q1,02,C113H,Minor Injury Unit or Other,272,265,0,0
2019,2019Q1,02,C121H,Emergency Department,555,535,2,0
2019,2019Q1,02,C122H,Minor Injury Unit or Other,398,395,0,0
2019,2019Q1,02,H101H,Minor Injury Unit or Other,155,155,0,0
2019,2019Q1,02,H103H,Emergency Department,608,566,7,5
2019,2019Q1,02,H106H,Minor Injury Unit or Other,25,25,0,0
2019,2019Q1,02,H202H,Emergency Department,2714,2444,29,0
2019,2019Q1,02,H208H,Minor Injury Unit or Other,297,296,0,0
2019,2019Q1,02,H210H,Minor Injury Unit or Other,40,40,0,0
2019,2019Q1,02,H212H,Emergency Department,639,615,1,0
2019,2019Q1,02,H214H,Minor Injury Unit or Other,325,325,0,0
2019,2019Q1,02,H215H,Minor Injury Unit or Other,172,171,0,0
2019,2019Q1,02,H219H,Minor Injury Unit or Other,183,183,0,0
2019,2019Q1,02,H224H,Minor Injury Unit or Other,346,343,0,0
2019,2019Q1,02,H227B,Minor Injury Unit or Other,136,136,0,0
2019,2019Q1,02,H227H,Minor Injury Unit or Other,52,51,0,0
2019,2019Q1,02,L106H,Emergency Department,5510,5166,17,8
2019,2019Q1,02,L206H,Minor Injury Unit or Other,75,75,0,0
2019,2019Q1,02,L207H,Minor Injury Unit or Other,63,63,0,0
2019,2019Q1,02,L302H,Emergency Department,5183,4633,89,30
2019,2019Q1,02,L308H,Emergency Department,5707,4861,148,24
2019,2019Q1,02,S108H,Minor Injury Unit or Other,117,117,0,0
